	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
IGSF11	0.0196	0.0388	0.0415	0.0626	0.2702	0.2371	0.1507	0.3588	0.0896	0.0742	0.0713	0.1158	0.0568	0.0386	0.0636	0.07	0.0859	0.0366	0.0543	0.134	0.0408	0.0393	0.0567	0.1099	0.0874	0.0467
IGSF21	0.016	0.0413	0.028	0.1257	0.2096	0.1717	0.0389	0.0395	0.088	0.0678	0.0278	0.0193	0.0343	0.0386	0.0306	0.0748	0.0563	0.1568	0.0658	0.1404	0.1222	0.1709	0.1893	0.2333	0.184	0.286
IGSF22	0.9922	1.4035	1.8997	1.1944	1.1349	1.2503	0.9457	1.1365	1.245	1.1699	1.0576	1.1584	1.2331	0.9461	0.8353	2.3194	1.0349	1.0176	0.9495	0.8917	1.2071	1.0452	1.0665	1.4301	1.5101	2.1095
IGSF3	0.3273	0.2299	0.2011	0.3458	0.247	0.3032	0.349	0.4376	0.5031	0.2555	0.2367	0.2144	0.2774	0.1947	0.15	0.3043	0.3855	0.4448	0.4232	0.4022	0.7298	0.5622	0.5869	0.8245	0.3962	0.5856
IGSF5	0.3112	0.6002	1.3535	0.7449	0.6962	1.4837	1.0327	4.5092	0.6819	0.6673	0.5852	0.479	0.6841	0.5482	0.4782	0.5168	0.5932	0.6133	0.5843	0.5133	0.6902	0.6017	1.8821	0.4888	0.8649	0.9725
IGSF6	0.2714	0.7426	0.6202	251.9767	0.7104	0.8301	0.6543	0.6248	0.7964	0.7588	0.717	0.6067	0.8441	0.6625	0.6103	0.6303	0.6739	0.6991	0.6883	0.6597	0.8367	0.7441	0.7225	0.6226	0.895	0.7419
IGSF8	0.1075	0.1451	0.0932	0.0944	0.1339	0.1034	0.1903	0.1857	0.2582	0.1375	0.1369	0.0709	0.109	0.0613	0.0614	0.0822	0.0964	0.0898	0.0808	0.1245	0.1604	0.1343	0.1367	0.1185	0.2579	0.1529
IGSF9	0.2872	0.212	0.1694	0.2145	0.2902	0.2576	0.3288	0.2111	0.2783	0.573	0.432	0.419	0.6269	0.3323	0.4484	0.3377	0.6574	0.391	0.3115	0.5921	0.4904	0.2801	0.2926	0.2527	0.3137	0.6585
IGSF9B	0.4551	0.7437	0.7394	0.8057	1.6523	1.6469	0.6199	1.9307	0.7799	0.7809	0.6633	0.5595	0.8454	0.8965	0.5255	1.421	0.692	0.7108	0.6071	0.5788	1.3656	0.7036	1.3141	1.9312	1.0233	0.6421
IK	1.2518	0.9769	0.7582	0.6847	0.791	0.8276	0.7275	0.9513	1.0868	0.7559	0.7351	0.628	1.0476	0.825	0.5543	0.6607	0.6969	0.5925	0.5577	0.7137	0.8356	0.6418	0.6839	0.4978	1.3322	0.9761
IKBIP	0.0802	0.2506	0.1353	0.3197	0.1587	0.2389	0.0784	0.0847	0.1031	0.1626	0.0793	0.0936	0.2159	0.0645	0.052	0.0537	0.0703	0.0825	0.0551	0.0727	0.1431	0.0665	0.1833	0.0608	0.2055	0.1132
IKBKAP	0.341	0.317	0.2335	0.2145	0.2107	0.374	0.2035	0.4039	0.4436	0.2288	0.2524	0.3426	0.4309	0.2603	0.2709	0.1853	0.2906	0.337	0.3329	0.3152	0.4816	0.2265	0.3102	0.4353	0.8756	0.5371
IKBKB	0.0546	0.243	0.0975	0.1662	0.0744	0.1319	0.105	0.121	0.1493	0.0689	0.0806	0.0832	0.0788	0.0513	0.0482	0.04	0.0621	0.0459	0.0746	0.0953	0.249	0.0631	0.1502	0.1566	0.2168	0.1311
IKBKE	0.0779	5.0853	1.5365	6.0172	0.9046	0.3952	0.2798	1.0097	0.3066	0.3463	0.2739	0.2148	0.3186	0.2412	0.2209	0.2295	0.3067	0.3459	0.3157	0.3176	0.3876	0.3022	0.3936	0.2795	0.4726	0.2489
IKBKG	0.0172	0.0531	0.0404	0.0435	0.094	0.1014	0.0376	0.0316	0.0568	0.0296	0.0718	0.0502	0.0261	0.0248	0.0379	0.0171	0.0951	0.0248	0.0386	0.0379	0.0629	0.0522	0.0398	0.0294	0.1111	0.0556
IKZF1	0.3476	0.8575	0.9623	10.5805	0.6314	0.6901	0.7941	0.55	1.1202	0.6148	0.5673	0.6869	1.0779	0.4857	0.405	0.4506	0.5302	0.5806	0.5597	0.4989	1.0921	0.6224	0.6926	2.6177	0.863	0.5143
IKZF2	0.0644	0.0665	0.0827	0.1331	0.1748	0.3361	0.1525	0.2315	0.4516	0.1011	0.1556	0.1056	0.2098	0.1025	0.0859	0.0599	0.219	0.0723	0.149	0.0723	0.0699	0.0758	0.1249	0.0926	0.1523	0.0741
IKZF3	0.209	0.457	0.8123	1.6334	0.5887	0.557	0.4099	0.9695	1.076	0.4912	0.4606	0.5943	1.9002	0.4238	0.3676	0.3789	0.9468	0.4883	0.4405	0.9389	0.5739	0.4628	0.5733	4.0314	0.7528	0.4271
IKZF4	0.1747	0.1324	0.1902	0.1343	0.1246	0.4058	0.1434	0.1432	0.2839	0.1479	0.1278	0.1644	0.2905	0.1715	0.1479	0.1658	0.2918	0.2345	0.089	0.079	0.3677	0.4264	0.5556	0.5856	0.4445	0.2101
IKZF5	0.23	0.1957	0.2171	0.16	0.3334	0.2039	0.1878	0.2827	0.2655	0.3987	0.2139	0.1828	0.2363	0.2105	0.1511	0.1271	0.1306	0.1663	0.1394	0.1569	0.2583	0.1561	0.3034	0.1334	0.2743	0.1912
IL10RA	0.2594	0.8546	0.4491	19.7158	1.0685	0.5955	0.4076	0.4528	0.8383	0.5224	0.4339	0.3582	1.5032	0.3905	0.3608	0.3882	0.449	0.953	0.4262	0.4419	0.5096	1.092	0.5519	0.802	0.7135	0.9153
IL10RB	0.0546	0.2223	0.1504	0.2908	0.1172	0.1272	0.0919	0.1163	0.1885	0.1231	0.088	0.0736	0.0933	0.0482	0.0414	0.0859	0.0851	0.0988	0.0679	0.0517	0.0881	0.0467	0.062	0.0792	0.093	0.0475
IL10RB-AS1	0.4907	5.3493	0.6922	0.9414	0.8664	0.9539	0.7587	0.7195	2.0297	0.9098	0.8323	0.6824	0.9016	0.7303	0.6488	0.7528	0.7908	0.8418	0.8247	0.755	1.9632	1.9793	0.8616	0.7406	1.0953	1.3075
IL11	0.269	0.5979	1.9386	0.7119	0.6831	0.6953	0.5137	0.4459	0.6576	0.6553	1.9527	0.4803	2.0834	0.4986	0.4474	0.4986	1.186	0.6067	0.5473	1.2184	0.7429	0.598	0.6334	1.0619	0.8847	1.5693
IL11RA	0.0316	0.1061	0.2065	0.0528	0.0643	0.1052	0.1122	0.2003	0.1385	0.0757	0.1156	0.0481	0.0878	0.0388	0.0985	0.0357	0.1003	0.1313	0.2206	0.1078	0.1825	0.0814	0.0487	0.1727	0.1266	0.0954
IL12A	0.1669	0.4759	3.5727	0.6217	1.4635	0.5808	0.4453	2.2479	0.5293	0.5256	1.0588	0.3892	0.5461	0.9192	0.3949	0.9489	0.5106	0.5079	0.4673	0.4632	0.5658	0.5082	0.6139	0.4294	0.7288	0.4787
IL12RB1	0.2999	0.7604	0.6061	8.3287	0.7605	0.7724	1.4458	0.5965	0.7678	0.7581	0.6784	0.6358	0.7873	1.3451	1.3006	0.6081	0.6975	0.6737	0.6609	0.6289	0.8156	0.71	2.3452	0.6168	0.969	0.6872
IL13RA1	0.0158	0.1764	0.1082	0.7863	0.0389	0.0445	0.0329	0.0308	0.0545	0.0911	0.156	0.0311	0.0734	0.0443	0.0229	0.043	0.0401	0.0571	0.044	0.052	0.0588	0.0964	0.1525	0.0382	0.0708	0.0263
IL13RA2	0.3762	0.7294	0.5494	0.8276	0.799	0.7756	0.6225	0.5557	0.777	0.7982	1.2469	0.5613	0.7604	0.5927	0.5671	1.0548	0.7077	0.69	0.6292	0.7014	1.7478	1.3209	1.9382	0.6106	2.2693	3.9925
IL15	1.7325	2.1499	1.6407	1.7333	1.7827	1.8141	1.4076	2.0421	1.8243	1.651	1.5333	1.2866	1.8592	3.2475	1.1797	1.3457	1.4002	1.3878	1.347	1.2328	1.7405	1.5006	1.5384	1.2764	2.8024	2.5268
IL15RA	0.4028	6.676	1.1742	2.6356	0.9339	0.873	0.6911	0.6896	0.9016	0.8919	0.7868	0.6361	0.8984	0.7222	0.7098	0.6865	0.8017	0.8143	0.7662	0.703	0.8728	0.7709	0.892	0.6762	1.0741	1.6228
IL16	0.2498	0.7076	0.4785	8.8459	0.9828	0.5438	0.6189	1.2355	0.484	0.4986	0.4002	0.443	0.5011	0.3458	0.2942	0.7853	0.4151	0.4414	0.777	0.3857	0.4614	0.4325	0.5006	0.651	1.5368	0.5914
IL17D	0.0146	0.0327	0.0395	0.0492	0.0361	0.0781	0.0619	0.0851	0.1152	0.189	0.0557	0.025	0.0879	0.0433	0.0337	0.0176	0.0676	0.0295	0.0253	0.0466	0.0835	0.0891	0.0974	0.0399	0.1436	0.05
IL17RA	0.0169	0.1502	0.1756	1.2844	0.0655	0.072	0.0548	0.0586	0.0456	0.0547	0.0617	0.0381	0.0465	0.0541	0.0426	0.0735	0.0414	0.0511	0.1457	0.0431	0.1069	0.1115	0.2534	0.1138	0.3755	0.0313
IL17RB	0.016	0.0279	0.0523	0.0656	0.2109	0.1623	0.1311	0.1172	0.1301	0.0692	0.0878	0.0507	0.0602	0.0792	0.0196	0.0533	0.0593	0.0696	0.0324	0.0295	0.0414	0.0399	0.1209	0.0517	0.0888	0.0596
IL17RC	0.1293	0.4596	1.2812	1.6712	0.3683	0.8491	0.4404	0.8169	1.2945	0.645	0.4582	0.2131	0.325	0.2346	0.3752	0.3421	0.8744	0.3148	0.2817	0.2875	0.3503	0.3057	0.3796	0.2721	0.4908	0.242
IL17RD	0.3554	0.3883	0.2126	0.2355	0.435	0.3138	0.264	0.4047	0.474	0.395	0.2518	0.2038	0.4946	0.2198	0.1754	0.2726	0.2581	0.1736	0.2352	0.2809	0.2873	0.2024	0.2439	0.2999	0.4022	0.2781
IL17REL	0.1273	0.6052	0.6991	0.4444	0.4256	0.4195	1.3551	0.627	0.386	0.3792	0.9851	0.6339	0.3799	0.5732	0.2393	0.2573	0.6805	1.5373	0.7249	1.2709	0.7236	0.3878	0.4047	0.2779	0.5242	0.2816
IL18	0.1298	0.4249	0.2684	3.0768	0.3717	0.3966	0.4428	0.3233	0.8996	3.8242	0.4617	0.1988	0.9437	0.6794	0.2109	0.4026	0.5499	0.6956	0.2755	0.2712	0.3455	0.3211	0.3766	0.2437	1.1921	0.2405
IL18BP	0.5018	0.587	0.5592	0.6983	0.6508	0.7005	0.6908	1.2179	0.6298	0.6205	0.9917	0.4329	0.6412	0.8853	0.757	0.8148	0.7507	0.9508	0.4896	0.8521	0.9748	0.9065	1.1136	0.4581	0.884	0.6493
IL18R1	0.7155	1.261	1.545	3.0815	1.2157	1.2927	1.0653	1.6081	1.3562	1.2642	1.1086	0.985	1.1945	1.0233	0.9379	1.0369	1.0024	1.0096	0.9819	0.9635	1.2837	2.7285	1.0225	1.0238	1.4953	1.1678
IL1A	0.5632	1.5541	1.0687	6.6804	2.0221	0.9722	0.7728	0.775	0.9768	0.9827	0.8807	0.7838	1.9316	1.4881	0.7078	0.7728	0.8315	0.8821	0.826	0.759	0.9451	0.8645	0.8951	0.7748	1.1695	0.9173
IL1B	0.3298	1.2894	0.7513	87.4389	0.7611	0.7556	0.6166	1.2496	1.6067	0.7476	0.6517	0.5484	0.7796	0.6034	0.5248	0.5575	0.6686	0.6487	0.5961	0.5938	0.6939	0.711	0.7857	0.5904	0.8995	0.6258
IL1R1	0.1477	1.093	3.2018	0.4538	1.2201	0.4787	0.6374	0.4282	0.4254	0.4503	0.3675	0.3057	0.4275	0.3329	0.5534	0.3258	0.3963	0.385	0.3701	0.3826	0.9343	1.8268	0.4763	0.7414	0.6318	0.6112
IL1R2	0.5636	1.1397	0.9175	1.0777	2.7625	1.0981	0.9078	0.9401	1.1518	1.0523	0.9826	0.9161	1.1578	0.9569	2.1378	0.8858	0.994	0.9234	0.9309	0.8966	2.8665	1.0098	0.9359	0.8854	1.3075	1.0697
IL1RAP	0.0101	0.0497	0.0605	0.2595	0.1207	0.1298	0.0483	0.0846	0.1083	0.0473	0.0288	0.0457	0.0373	0.0439	0.0207	0.0422	0.0646	0.0446	0.0351	0.1968	0.1408	0.1939	0.0699	0.1583	0.1006	0.0365
IL1RAPL1	0.0176	0.0518	0.0555	0.0586	0.1832	0.1524	0.0747	0.0291	0.1469	0.0603	0.0396	0.0183	0.0769	0.0516	0.0401	0.0441	0.069	0.0907	0.1214	0.1781	0.0977	0.0367	0.1688	0.0948	0.0741	0.0668
IL1RN	0.4295	0.8956	0.7804	3.0608	0.9165	0.9377	0.7806	0.81	0.9553	0.8918	0.8538	0.7639	0.9297	0.792	0.7314	0.7736	0.8317	0.8025	2.5684	0.8204	0.8656	0.848	0.9077	2.3988	1.0483	0.9195
IL20RA	1.0026	1.3536	1.4974	1.3548	2.3358	1.3246	1.7507	1.1179	1.4303	2.1439	1.1854	1.032	1.4219	1.0969	0.9498	1.7202	1.1916	1.1235	1.0593	0.9601	1.3327	1.1236	1.2353	1.866	1.7403	1.2343
IL20RB	0.4602	0.9233	1.4303	1.0048	0.907	1.0459	1.6622	0.8194	1.0548	1.0004	0.8477	0.7632	1.0245	0.803	0.7521	1.7442	5.0793	0.8502	0.8071	0.7412	0.9897	0.857	0.9578	0.7906	1.1532	0.9089
IL21-AS1	0.3721	0.7817	0.5857	0.8676	0.7737	2.1057	0.6183	0.9228	0.7803	0.8012	0.711	0.5586	0.7812	1.1598	0.5879	1.219	0.7091	0.6808	1.4468	1.6034	0.7744	0.7098	1.9635	1.5133	0.9803	0.7218
IL21R-AS1	1.0071	1.2263	1.0611	1.3224	1.2875	2.4097	1.0555	1.9155	1.3779	1.3414	1.1748	0.978	1.3812	1.0442	1.3292	1.0239	1.1193	2.043	1.0594	2.162	1.2512	1.1301	1.1997	1.0329	1.6117	1.6286
IL23A	0.9001	1.7814	1.4947	2.928	1.3018	1.3368	1.1201	1.13	2.2903	1.2658	1.1355	0.994	1.2738	1.0854	0.9043	1.1197	1.1182	1.066	1.0588	2.1555	1.3042	1.0695	1.196	1.0307	1.5464	1.223
IL23R	0.3447	0.7856	1.1587	0.7873	0.8256	0.8656	1.6249	0.6443	0.886	0.8379	0.7658	2.5932	0.8489	0.6825	0.5823	0.6122	0.7531	0.7752	1.8186	0.7273	0.8315	0.7582	0.7492	0.6802	2.9967	0.7521
IL27RA	0.0643	0.6029	0.5661	1.1994	0.851	0.2518	0.261	0.518	0.1914	0.2032	0.1675	0.1854	0.3613	0.1359	0.1186	0.1295	0.3485	0.4067	0.1613	0.3598	0.2319	0.213	0.281	0.2946	2.3084	0.3319
IL2RA	0.5695	1.1381	0.9129	1.1522	1.0245	1.1335	0.9564	1.8022	1.1602	1.0592	0.9849	0.9868	1.1652	0.9467	0.8554	0.8564	0.9683	2.6733	0.908	0.8527	2.6631	1.0109	1.0385	0.8681	1.2618	1.0493
IL2RB	0.3475	0.6731	1.6214	2.517	1.831	0.7973	0.6717	0.5901	0.8421	0.8772	0.6828	0.6155	0.7921	0.6455	0.558	0.604	0.7173	0.6963	4.2255	1.7228	0.7369	0.7383	0.7236	0.627	0.9379	0.6992
IL31RA	0.5598	0.9525	0.8146	0.9632	0.9747	1.0585	1.6921	0.8741	2.1194	1.0322	0.8771	1.4622	1.0613	0.8376	1.6973	0.8769	0.9024	0.9013	2.1504	0.8211	0.9882	0.9451	0.9847	0.807	1.242	0.9438
IL32	0.2317	23.5489	1.4855	0.6749	0.6139	1.6493	0.4721	0.6193	0.5941	0.6486	0.5251	0.4018	0.6054	0.4445	0.4265	0.4278	0.5369	0.544	0.5264	0.4773	0.6196	0.5392	0.6618	0.4893	0.784	0.5048
IL33	0.0057	0.1439	0.0822	0.0763	0.0509	0.1969	0.1677	0.1671	0.6985	0.3193	0.0264	0.0166	0.0345	0.024	0.0387	0.0218	0.034	0.0401	0.0386	0.0326	0.0938	0.0971	0.0622	0.0538	0.0835	0.0213
IL34	0.2612	1.1108	4.086	0.6342	0.6497	0.6722	1.0438	0.9217	1.2327	1.2903	0.5323	0.4263	0.6467	0.4554	0.4246	0.4468	0.5128	0.5097	0.4894	0.5128	0.638	0.5519	0.6129	1.1151	0.8078	0.9275
IL3RA_loc1	0.0038	1.0969	0.0954	0.2459	0.0434	0.0529	0.02	0.0409	0.0291	0.0336	0.0426	0.0134	0.0241	0.0192	0.0144	0.0553	0.0261	0.0303	0.029	0.0261	0.0318	0.0739	0.0595	0.0802	0.0784	0.0159
IL3RA_loc2	0.0034	1.0134	0.1017	0.2183	0.0383	0.0464	0.0173	0.0316	0.026	0.0342	0.0421	0.0122	0.0248	0.0164	0.014	0.048	0.0243	0.0313	0.025	0.058	0.031	0.1159	0.0489	0.0233	0.072	0.015
IL4I1	0.0301	0.0734	0.0461	0.055	0.1111	0.0853	0.0447	0.0511	0.05	0.0555	0.0821	0.0998	0.1347	0.119	0.0364	0.0295	0.0604	0.0334	0.0685	0.054	0.0534	0.0544	0.0935	0.0278	0.1393	0.0582
IL4R	0.0027	0.447	0.1607	0.4688	0.0297	0.0374	0.0311	0.0318	0.0196	0.0234	0.0343	0.0101	0.0671	0.0147	0.0111	0.0118	0.0204	0.0241	0.0219	0.023	0.0592	0.0283	0.0426	0.061	0.0635	0.0112
IL5RA	0.258	0.5574	0.974	0.633	0.6238	0.6435	0.9678	4.6715	1.2329	1.2624	0.5237	0.422	0.6103	0.434	0.4336	0.4382	0.5426	0.5498	0.5238	0.4601	0.595	1.3081	0.6428	1.0499	0.8022	0.4945
IL6	0.4024	2.3103	3.8284	1.7335	0.7877	0.8424	0.6168	0.5864	0.795	0.7744	1.1603	0.5417	0.8022	1.1568	0.5478	1.0232	0.6442	0.6737	0.6687	0.643	0.7664	0.6929	0.734	0.6083	1.0042	0.6629
IL6R	0.0795	0.225	0.6916	12.126	1.2548	0.3378	0.21	0.5267	0.507	0.3079	0.6474	0.1797	0.2409	0.1934	0.1752	0.3747	0.2315	0.2547	0.2593	0.2257	0.2969	1.1046	0.3367	0.8063	0.4381	0.3553
IL6ST	0.5089	1.6083	0.7179	1.7539	0.5078	0.4563	0.4361	0.4887	1.145	0.5229	0.4317	0.2703	0.7304	0.3862	0.2324	0.2482	0.2914	0.239	0.3276	0.251	0.4566	0.2754	0.3931	0.2722	0.5771	0.3681
IL7	0.6487	2.1719	1.0325	2.1861	0.9464	1.042	0.7365	0.9892	0.9955	1.6252	0.8625	0.6752	0.9905	1.2179	0.6583	1.148	0.838	0.8322	1.2644	0.7325	0.9503	0.8352	0.8572	1.4037	1.2084	0.8589
IL7R	0.2251	0.5385	0.6137	28.3203	1.3697	1.6024	1.8065	0.6148	0.5944	0.5696	0.5096	0.8259	0.5954	0.4278	0.3805	0.4417	0.5039	1.2745	0.5106	0.4912	0.5773	0.5307	0.575	0.4294	0.7795	0.5072
ILDR1	0.5899	1.0689	1.5472	1.0885	1.1187	1.0671	0.8682	1.6952	1.2267	1.0619	1.0166	0.9199	1.151	0.8599	0.7958	1.9386	2.1425	0.9641	0.8646	0.8805	1.07	1.0066	1.0386	0.8499	1.2773	1.0041
ILDR2	0.3163	0.4362	0.218	0.31	0.7358	1.1601	0.9876	1.2152	0.5178	0.7988	0.4042	0.7421	0.3383	0.3577	0.389	0.1629	0.2338	0.2137	0.1521	0.2229	0.2924	0.1679	0.2511	0.1741	0.3021	0.2595
ILF2	3.405	2.2116	1.8766	1.789	1.8992	2.13	1.5968	2.1973	2.2197	1.948	2.2989	2.8593	3.709	2.6005	2.0093	1.8994	1.9798	1.6489	1.3692	1.2175	2.1192	1.5947	1.511	1.2704	2.7474	2.4721
ILF3	2.5491	1.6832	1.3963	1.3546	1.6833	1.5181	1.5857	2.0457	1.7077	1.5725	1.6856	1.7783	2.997	1.6441	1.2613	1.3377	2.0331	1.4377	1.5017	1.4425	2.1222	1.2896	1.7034	1.6524	2.1205	2.1201
ILF3-AS1	0.3752	0.3148	0.2764	0.2877	0.2312	0.3477	0.2123	0.3314	0.3974	0.3831	0.2641	0.2203	0.3796	0.2093	0.1871	0.2658	0.2531	0.205	0.2202	0.1936	0.3767	0.5675	0.2216	0.1946	0.6177	0.2841
ILK	0.5328	0.9564	1.1159	0.333	0.3586	0.4394	0.3385	0.3708	0.4227	0.3737	0.4964	0.3373	0.5771	0.4296	0.2631	0.2594	0.3746	0.264	0.2352	0.1957	0.3286	0.2555	0.2674	0.2127	0.4455	0.4087
ILKAP	0.5099	0.3787	0.3598	0.3125	0.3566	0.3748	0.2695	0.3979	0.3806	0.5248	0.3775	0.3807	0.5503	0.381	0.2715	0.2712	0.3568	0.2642	0.2283	0.2817	0.3624	0.352	0.438	0.2323	0.5344	0.3891
ILVBL	0.2439	0.307	0.1837	0.1954	0.205	0.1916	0.139	0.2039	0.2327	0.2086	0.171	0.1738	0.2659	0.1807	0.1622	0.1259	0.2505	0.1246	0.156	0.1292	0.2639	0.2194	0.2445	0.1515	0.399	0.2837
IMMP1L	0.5029	0.3517	0.2878	0.3203	0.5707	0.7643	0.275	0.4932	0.5701	0.5735	0.8174	0.6843	1.0001	0.959	0.3547	0.2665	0.5615	0.2686	0.3118	0.3378	0.3639	0.2972	0.2815	0.2002	0.7756	0.6791
IMMP2L	0.0093	0.047	0.0508	0.1044	0.0713	0.1829	0.0184	0.0666	0.0452	0.0874	0.0549	0.0195	0.0906	0.15	0.0776	0.0393	0.0218	0.0936	0.0252	0.049	0.0312	0.0973	0.0455	0.0217	0.0635	0.0252
IMMT	0.6118	0.4796	0.3648	0.3612	0.5887	0.4055	0.3541	0.4273	0.4642	0.5407	0.5178	0.3896	0.6614	0.4261	0.3615	0.3503	0.3662	0.4414	0.3116	0.2971	0.444	0.3708	0.3819	0.3503	1.1933	0.7694
IMP3	0.6096	0.4265	0.5137	0.3512	0.6061	0.3963	0.3101	0.4187	0.4295	0.4616	0.4612	0.4885	0.6842	0.63	0.3559	0.3378	0.4497	0.2931	0.3986	0.2769	0.4226	0.3525	0.2963	0.2636	0.5493	0.5593
IMP4	0.0879	0.1377	0.0739	0.1185	0.1505	0.1596	0.0559	0.0753	0.1297	0.0758	0.1471	0.1204	0.0995	0.0894	0.1143	0.055	0.0672	0.0798	0.0563	0.0569	0.169	0.1183	0.1082	0.0521	0.1142	0.1021
IMPA1	0.3118	0.2453	0.2368	0.2665	0.2033	0.4518	0.1962	0.5007	0.6612	0.4146	0.2086	0.2507	0.361	0.208	0.2064	0.1844	0.183	0.3315	0.2485	0.1937	0.3128	0.216	0.2743	0.1896	0.4223	0.408
IMPA2	0.0054	0.0345	0.0576	0.1778	0.0366	0.0424	0.0497	0.0392	0.0493	0.1703	0.0561	0.0555	0.1391	0.0787	0.0143	0.0262	0.0239	0.0285	0.0245	0.0237	0.0297	0.0297	0.0435	0.0194	0.07	0.0364
IMPACT	0.1963	0.1736	0.1576	0.3078	0.4109	0.2682	0.2275	0.4257	0.4071	0.2571	0.1894	0.1854	0.3058	0.1968	0.0959	0.1565	0.1187	0.1572	0.1271	0.1546	0.2171	0.1385	0.2368	0.0915	0.31	0.1429
IMPAD1	0.4964	0.7179	0.3913	0.294	0.3813	0.3637	0.343	0.4801	0.4649	0.718	0.4275	0.351	0.4352	0.289	0.2186	0.3414	0.3218	0.2645	0.2939	0.2544	0.3567	0.3159	0.3899	0.4985	0.4752	0.3444
IMPDH1	0.0407	0.2208	0.0815	0.1333	0.0587	0.0599	0.0407	0.0332	0.0498	0.1766	0.1178	0.094	0.0716	0.0815	0.1	0.0387	0.0764	0.0918	0.116	0.078	0.1288	0.0678	0.0968	0.136	0.1461	0.1269
IMPDH2	1.5183	0.9986	1.1915	0.942	0.9515	0.9783	0.945	1.1227	1.209	1.0024	1.2679	1.0454	1.6938	1.1674	0.7616	0.7272	1.0006	0.6771	0.652	0.5506	0.8975	0.7558	0.6751	0.565	1.4312	1.1772
IMPG2	0.9724	1.4073	1.1958	1.1342	1.0991	1.1513	0.8773	4.0131	1.1507	1.0744	0.9651	0.8562	1.53	1.3636	0.9819	1.1005	1.0007	0.9003	0.8722	0.8323	1.1161	0.9652	0.9977	0.8333	2.0276	1.0783
INA	0.5792	0.3974	0.3656	0.3929	0.4785	0.4364	0.3022	0.4497	0.4849	0.5094	0.572	0.3495	0.4462	0.342	0.5633	2.6315	3.3777	4.3636	3.4095	2.4276	5.38	4.5328	3.703	3.3944	6.5251	4.7985
INADL	0.0282	0.0712	0.0874	0.1575	0.1176	0.0524	0.0626	0.0985	0.1748	0.0593	0.1651	0.0445	0.1461	0.0371	0.0597	0.0684	0.142	0.0798	0.1293	0.0983	0.2563	0.17	0.2337	0.1705	0.0831	0.1193
INAFM1	0.0677	0.1467	0.1111	0.0755	0.1089	0.2054	0.0729	0.0894	0.1137	0.0664	0.0575	0.0492	0.1187	0.0621	0.0365	0.0606	0.0918	0.0579	0.0778	0.065	0.1072	0.0787	0.0784	0.1481	0.1715	0.128
INAFM2	0.1004	0.2147	0.3066	0.1326	0.1321	0.1625	0.1512	0.131	0.1798	0.12	0.1531	0.0972	0.0836	0.0949	0.0641	0.0737	0.1211	0.0915	0.1239	0.1016	0.1083	0.1002	0.0771	0.0748	0.1896	0.1292
INCA1	0.8656	1.2594	1.8945	1.272	1.1902	1.2612	1.7719	1.0238	1.2643	1.2343	1.1624	0.9248	1.3441	1.56	0.8315	0.9689	1.9043	1.0577	1.6589	0.9383	1.2175	1.0111	1.1599	0.9797	1.57	1.7504
INCENP	0.0148	0.0226	0.0427	0.0506	0.1633	0.1713	0.0981	0.0516	0.0448	0.118	0.1075	0.0923	0.2118	0.1052	0.0482	0.0186	0.0265	0.029	0.0247	0.0441	0.0327	0.0559	0.0451	0.0979	0.1357	0.0694
INE1	0.8078	1.1809	1.3945	1.1821	1.1122	1.2006	1.7121	1.465	1.2001	1.1731	1.1178	0.8936	1.1741	1.6263	0.8636	0.9274	1.0292	1.0119	0.946	2.0187	2.1995	1.0232	1.0755	0.9039	1.3892	1.1099
INE2	0.4502	1.3575	0.9491	0.8748	0.8349	1.9611	2.0549	0.6313	1.44	1.5263	0.7351	0.6071	0.8499	0.6507	1.0659	0.5909	0.7028	0.7252	0.6736	0.6783	0.8797	0.7722	0.7765	0.6154	1.0119	1.8252
INF2	0.0084	0.0891	0.1686	0.0867	0.0882	0.0316	0.0245	0.0327	0.0373	0.0234	0.0941	0.0228	0.0339	0.0203	0.0187	0.0187	0.0175	0.0225	0.0386	0.0185	0.0387	0.0473	0.1194	0.0151	0.0487	0.0291
ING1	0.4032	0.4433	0.6812	0.251	0.2738	0.3445	0.2678	0.2847	0.3323	0.308	0.3593	0.3613	0.5989	0.4475	0.2155	0.2141	0.324	0.2636	0.1771	0.1647	0.2484	0.228	0.4325	0.262	0.4214	0.326
ING2	0.1682	0.1453	0.1344	0.1451	0.1255	0.1434	0.1595	0.1478	0.1903	0.1609	0.128	0.1106	0.2301	0.1796	0.1246	0.1565	0.111	0.1361	0.2105	0.0975	0.3399	0.1344	0.1514	0.2074	0.172	0.1587
ING3	0.5115	0.3896	0.3947	0.4693	0.337	0.6463	0.361	0.5489	0.5067	0.6996	0.3574	0.4306	0.4836	0.3122	0.3299	0.3961	0.4234	0.2988	0.3307	0.2417	0.3389	0.2565	0.2632	0.2976	0.4674	0.3357
ING4	0.8345	0.5608	0.4794	0.4948	0.607	0.564	0.4862	0.7082	0.65	0.5649	0.6312	0.4954	0.6332	0.6044	0.4335	0.8483	0.8291	0.5014	0.6108	0.507	0.8736	0.6753	0.4627	0.3729	0.9083	0.8004
